date_time,WindChillC,cloudcover,humidity,tempC,visibility,winddirDegree,windspeedKmph
2017/1/1,19,30,80,21,10,76,16
2017/1/2,21,11,80,22,10,77,10
2017/1/3,21,8,81,22,10,81,14
2017/1/4,21,8,82,22,10,80,15
2017/1/5,21,42,83,22,10,72,9
2017/1/6,22,32,84,23,10,85,11
2017/1/7,21,41,86,22,10,86,12
2017/1/8,23,24,76,24,10,96,5
2017/1/9,21,38,79,22,10,67,12
2017/1/10,20,70,81,21,10,85,19
2017/1/11,19,90,79,20,9,74,19
2017/1/12,18,85,76,20,10,79,16
2017/1/13,14,95,79,15,9,102,16
2017/1/14,14,98,82,16,8,42,17
2017/1/15,15,99,80,16,7,39,17
2017/1/16,14,91,81,16,8,52,18
2017/1/17,18,68,80,20,8,65,18
2017/1/18,19,87,83,19,10,47,12
2017/1/19,20,77,84,21,10,163,9
2017/1/20,17,50,70,19,10,70,17
2017/1/21,16,39,61,18,10,20,15
2017/1/22,16,18,55,18,10,57,10
2017/1/23,17,34,65,19,10,63,16
2017/1/24,18,24,68,19,10,72,19
2017/1/25,18,29,73,20,10,76,15
2017/1/26,19,4,75,19,10,77,13
2017/1/27,20,0,63,20,10,76,11
2017/1/28,18,75,79,19,10,81,17
2017/1/29,19,91,89,20,9,74,14
2017/1/30,21,76,84,23,8,46,14
2017/1/31,18,86,76,19,10,57,17
2017/2/1,19,52,74,22,10,59,14
2017/2/2,18,37,75,20,10,74,18
2017/2/3,18,42,72,19,10,73,16
2017/2/4,19,41,74,21,10,116,12
2017/2/5,20,47,79,22,10,86,8
2017/2/6,19,56,77,21,10,82,23
2017/2/7,18,64,75,19,9,82,25
2017/2/8,18,85,84,19,6,88,18
2017/2/9,11,45,59,16,10,9,25
2017/2/10,10,39,52,15,10,26,17
2017/2/11,13,16,48,16,10,47,12
2017/2/12,16,5,55,17,10,70,11
2017/2/13,18,2,62,18,10,72,15
2017/2/14,17,54,62,20,10,77,19
2017/2/15,18,8,68,19,10,87,17
2017/2/16,21,2,76,21,10,100,10
2017/2/17,23,3,75,23,10,96,7
2017/2/18,22,2,76,22,10,76,11
2017/2/19,18,75,82,19,9,76,16
2017/2/20,21,57,86,22,10,84,8
2017/2/21,20,80,88,21,9,84,22
2017/2/22,20,86,90,22,10,87,12
2017/2/23,17,99,83,20,8,192,16
2017/2/24,10,100,79,12,7,16,18
2017/2/25,10,100,78,13,10,100,16
2017/2/26,14,58,70,18,10,79,14
2017/2/27,17,64,66,19,10,72,17
2017/2/28,18,29,63,20,10,81,15
2017/3/1,19,56,67,21,10,183,11
2017/3/2,20,2,52,21,10,95,16
2017/3/3,18,25,69,19,10,86,16
2017/3/4,19,49,82,21,10,85,14
2017/3/5,21,70,89,22,9,104,9
2017/3/6,21,67,77,22,10,155,9
2017/3/7,18,92,74,19,9,71,18
2017/3/8,16,96,78,17,9,48,16
2017/3/9,17,98,78,18,9,76,19
2017/3/10,20,96,91,21,9,105,14
2017/3/11,18,100,88,19,9,85,19
2017/3/12,20,69,88,21,10,98,15
2017/3/13,22,56,87,24,9,143,9
2017/3/14,20,88,85,21,10,83,15
2017/3/15,18,94,78,18,9,76,23
2017/3/16,18,92,83,20,10,69,17
2017/3/17,19,90,84,21,10,77,18
2017/3/18,21,84,84,22,10,83,18
2017/3/19,20,88,92,20,9,84,16
2017/3/20,22,64,88,24,10,99,11
2017/3/21,23,55,84,25,10,87,11
2017/3/22,20,95,87,21,9,87,19
2017/3/23,22,50,86,23,10,88,12
2017/3/24,22,36,86,23,10,99,16
2017/3/25,20,84,84,21,10,32,14
2017/3/26,15,73,72,17,10,30,18
2017/3/27,19,26,61,22,10,74,18
2017/3/28,21,71,82,23,10,88,18
2017/3/29,21,85,88,23,9,79,16
2017/3/30,22,84,89,24,9,95,15
2017/3/31,22,84,82,24,6,90,14
2017/4/1,21,9,65,21,10,58,14
2017/4/2,21,4,65,21,10,82,16
2017/4/3,20,16,70,22,10,88,19
2017/4/4,21,49,81,23,10,89,16
2017/4/5,23,66,86,24,10,86,12
2017/4/6,23,91,92,24,6,102,10
2017/4/7,24,38,86,26,8,140,7
